#{"t_start": 1731203105.9239593, "env_id": "LunarLander-v2"}
r,l,t
-342.78011,100,0.353096
-451.556408,75,0.549564
-205.756212,78,0.752053
-66.951781,63,0.907458
-32.208047,106,1.182195
-153.92748,105,1.437094
-560.213678,237,2.032087
-141.569718,145,2.391414
-313.728457,102,2.636817
-139.57925,136,2.968482
-115.711246,140,3.307462
-156.705677,80,3.498826
-180.033102,207,4.025654
-411.273179,214,4.593647
-156.784625,156,5.00892
-237.077608,174,5.496222
-262.993935,302,6.382533
-146.105549,247,7.148582
15.981002,1000,12.128253
-90.144556,244,13.087003
-153.985764,139,13.602592
-84.387923,195,14.329608
5.946164,182,15.011957
-80.78799,130,15.495293
-42.143337,236,16.334633
7.900053,157,16.915807
-49.963537,155,17.450339
-8.871074,307,18.539265
-92.184486,269,19.469975
-19.759293,204,20.168515
66.95618,1000,24.937926
-42.349408,118,25.370771
14.380449,100,25.723998
-133.3374,203,26.427808
55.437059,1000,30.591003
-34.888023,148,31.093659
118.416602,1000,35.377663
-29.526379,121,35.796725
-145.258431,332,37.60069
-78.483277,222,37.736764
-92.335325,224,37.879389
-85.789869,236,38.02522
-123.850737,298,38.214366
48.866594,147,38.766276
-89.194691,360,40.188694
81.84589,1000,44.733649
0.663589,106,45.111968
-87.57752,336,46.332012
-79.579782,256,47.229135
-115.983181,184,47.859283
-113.714501,127,48.2941
-139.969131,535,50.348303
-108.465338,163,50.89829
-76.057552,180,51.569115
-9.386559,100,51.98628
-88.144542,281,53.028106
-90.743105,284,54.031823
-125.012613,129,54.486922
8.246076,202,55.170032
39.422756,1000,59.730087
-83.279757,120,60.136357
-94.214576,182,60.761236
-109.626085,103,61.109771
-20.83965,192,61.764668
-43.319423,312,62.885107
-47.09468,130,63.32658
-61.058629,263,64.260375
-17.742675,132,64.714559
-2.670067,205,65.432697
-62.875113,140,65.95079
-75.444374,101,66.327144
-190.621752,314,67.59013
-72.200778,279,68.681583
112.745698,1000,72.620453
-41.265126,199,73.313253
-79.078234,121,73.72912
-156.535192,285,74.768395
-65.923714,449,76.429066
-69.063132,1000,78.010326
-88.692043,137,78.088999
-91.563563,141,78.170675
-219.791821,892,79.606004
-106.481438,215,79.75289
113.039039,1000,83.827399
8.642487,329,85.003887
-106.020076,438,86.414303
-45.291216,135,86.836618
-88.252749,105,87.232624
-59.825874,1000,92.254557
-158.242062,600,95.062773
-93.571918,413,97.004633
-22.339907,252,98.06107
-64.102661,498,100.453084
28.466366,1000,105.394464
-71.567598,1000,110.724224
17.67123,309,112.1899
-24.247656,149,112.85824
92.191011,1000,117.572775
55.051481,1000,122.406287
172.141676,866,128.327176
-23.502394,1000,130.088136
-13.868841,225,130.23474
196.078885,217,130.390148
-44.28772,1000,131.773216
-67.378599,63,132.03668
-32.386576,138,132.594587
-21.224283,97,132.985164
109.92385,1000,137.655158
28.297669,1000,143.837092
37.172915,137,144.416379
45.218145,1000,149.794199
84.217284,1000,155.015715
-5.248569,1000,159.050218
72.657834,1000,162.584983
-32.631085,1000,166.229012
-44.310044,1000,169.714724
198.707176,619,171.723361
164.535648,431,175.287323
-50.778798,1000,176.91929
171.134877,748,177.750539
143.366336,878,178.72765
-40.659776,1000,180.135169
2.299214,1000,183.701202
35.341456,241,184.350637
303.333462,290,185.176745
-43.363114,1000,188.616354
249.797544,442,189.957559
126.777575,1000,193.388201
6.491555,1000,196.763989
53.115338,1000,200.831153
-31.558952,1000,204.769412
-54.928359,1000,208.115316
1.142793,201,208.676222
-23.638662,1000,212.955763
-21.114096,1000,216.999783
-31.023692,1000,217.823852
-37.468472,1000,218.867337
-27.06389,1000,219.851069
-28.73861,1000,221.181929
257.486999,720,223.623985
-9.564059,1000,227.36518
26.970732,1000,230.612443
-11.630771,1000,234.480051
-14.410041,1000,238.011845
-19.232812,1000,241.336272
1.247128,1000,244.508664
-38.634092,1000,248.188528
3.670293,1000,251.450592
8.702402,1000,254.687286
-48.13363,1000,256.706192
-60.577863,1000,257.976352
-18.577835,1000,259.235183
232.655917,573,259.783587
0.536392,1000,261.160718
154.446965,930,264.741784
133.279908,862,267.485555
108.987978,922,270.520558
-50.381002,1000,273.616961
24.793918,133,273.972991
-21.974969,1000,277.366286
-3.072079,1000,281.054411
-37.357501,1000,284.264539
150.677864,993,287.379061
230.347107,585,289.381979
-33.562439,1000,293.781598
232.175363,519,295.355732
164.766823,424,295.825183
181.409625,584,296.35363
29.917069,126,296.419777
281.187829,353,296.658556
185.012123,586,297.107327
-37.794278,1000,300.511193
264.235508,311,301.434973
-16.16419,1000,304.846113
-30.935902,1000,308.401241
-11.742876,1000,312.185901
-8.597137,1000,316.195237
164.981966,985,320.344546
-17.689479,468,321.698688
113.539839,966,325.467622
5.499546,260,326.267458
-24.919084,370,327.537555
147.769035,962,330.693643
-38.431962,1000,334.023264
75.024103,1000,335.313049
-14.961073,1000,336.871814
-4.162138,1000,338.122483
-2.538219,1000,339.772413
239.628365,462,341.45314
283.523644,317,342.471946
216.36129,476,343.959508
173.472871,695,346.444643
-109.074061,1000,349.864567
206.675339,785,352.633825
159.916547,834,355.714535
163.285369,703,358.061877
-32.624208,1000,362.197354
272.54014,369,363.334453
-9.833158,1000,367.268597
141.153751,769,370.315318
159.374583,941,373.621904
129.042504,857,376.517761
212.373727,845,377.561598
230.073885,811,378.342509
225.144588,664,378.930464
32.461023,1000,380.382944
133.558388,667,382.7
233.063248,425,383.996959
114.595973,743,386.536025
-11.057134,1000,390.13102
197.922824,663,392.346062
-8.838287,325,393.297921
79.061382,1000,396.851672
142.439364,711,399.521044
188.794955,549,401.201218
79.242537,908,404.46857
162.487134,569,406.450111
17.528343,340,407.462618
